seq_ID,ID_refined,environment,location,library,name,full_name,novel,family
236-k141_383893_flag1_multi4.0000_len5889_translation,236-k141_383893,mountain,Xinjiang,236,Xinjiang mymona-like virus 2,236-k141_383893 Xinjiang mymona-like virus 2,Y,mymonaviridae
237-k141_203670_flag1_multi4.0000_len2070_translation,237-k141_203670,mountain,Xinjiang,237,Xinjiang mymona-like virus 1,237-k141_203670 Xinjiang mymona-like virus 1,Y,mymonaviridae
237-k141_63393_flag1_multi4.0000_len6123_translation,237-k141_63393,mountain,Xinjiang,237,Xinjiang varicosa-like virus,237-k141_63393 Xinjiang varicosa-like virus,Y,rhabdoviridae
340R-k141_1035737_flag1_multi4.0000_len1266_translation,340R-k141_1035737,grassland,Inner Mongolia,340R,Inner Mongolia mymona-like virus 1,340R-k141_1035737 Inner Mongolia mymona-like virus 1,Y,mymonaviridae
340R-k141_1123856_flag1_multi4.0000_len2106_translation,340R-k141_1123856,grassland,Inner Mongolia,340R,Inner Mongolia mymona-like virus 2,340R-k141_1123856 Inner Mongolia mymona-like virus 2,Y,mymonaviridae
340R-k141_1428611_flag1_multi4.0000_len2079_translation,340R-k141_1428611,grassland,Inner Mongolia,340R,Inner Mongolia mymona-like virus 3,340R-k141_1428611 Inner Mongolia mymona-like virus 3,Y,mymonaviridae
340R-k141_211457_flag1_multi4.0000_len1782_translation,340R-k141_211457,grassland,Inner Mongolia,340R,Inner Mongolia mymona-like virus 5,340R-k141_211457 Inner Mongolia mymona-like virus 5,Y,mymonaviridae
340R-k141_383058_flag1_multi4.0000_len1530_translation,340R-k141_383058,grassland,Inner Mongolia,340R,Inner Mongolia mymona-like virus 6,340R-k141_383058 Inner Mongolia mymona-like virus 6,Y,mymonaviridae
340R-k141_7825_flag1_multi4.0000_len1086_translation,340R-k141_7825,grassland,Inner Mongolia,340R,Inner Mongolia mymona-like virus 7,340R-k141_7825 Inner Mongolia mymona-like virus 7,Y,mymonaviridae
342bR-k141_175724_flag1_multi4.0000_len1560_translation,342bR-k141_175724,grassland,Inner Mongolia,342bR,Inner Mongolia mymona-like virus 4,342bR-k141_175724 Inner Mongolia mymona-like virus 4,Y,mymonaviridae
MP3_k141_133934_flag1_multi4.0000_len1056_translation,MP3_k141_133934,Riverbank sediment,Western Australia,MP3,Ripevax virus,MP3_k141_133934 Ripevax virus,Y,mymonaviridae
MP3_k141_67730_flag1_multi4.9330_len3842_translation,MP3_k141_67730,Riverbank sediment,Western Australia,MP3,Ripevex virus,MP3_k141_67730 Ripevex virus,Y,mymonaviridae
R1-k141_1515735_flag1_multi4.0000_len3534_translation,R1-k141_1515735,farmland,Yunnan,R1,Yunnan mymona-like virus 1,R1-k141_1515735 Yunnan mymona-like virus 1,Y,mymonaviridae
R112-k141_464438_flag1_multi4.0000_len6273_translation,R112-k141_464438,duck feces,Hainan,R112,Hainan cytorhabdovirus,R112-k141_464438 Hainan cytorhabdovirus,Y,rhabdoviridae
s14-k141_646252_flag1_multi4.0000_len2709_translation,s14-k141_646252,cattle feces,Yunnan,s14,Yunnan rhabdo-like virus,s14-k141_646252 Yunnan rhabdo-like virus,Y,rhabdoviridae
s21-k141_1606273_flag1_multi4.0000_len2028_translation,s21-k141_1606273,wetland,Yunnan,s21,Yunnan mymona-like virus 2,s21-k141_1606273 Yunnan mymona-like virus 2,Y,mymonaviridae
s64-k141_1232720_flag1_multi4.0000_len2262_translation,s64-k141_1232720,fish pond sediment,Sichuan,s64,Sichuan sediment paramyxovirus 1,s64-k141_1232720 Sichuan sediment paramyxovirus 1,Y,paramyxoviridae
